Zone,Projection,Zone FIPS,NAD 27 US Feet,NAD 83 Meters,NAD 83 US Feet,NAD 83 Intl Feet,NAD 83 (HARN) Meters,NAD 83 (HARN) US Feet,NAD 83 (HARN) Intl Feet,NAD 83 (CORS 96) Meters,NAD 83 (CORS 96) US Feet,NAD 83 (NSRS 2007) Meters,NAD 83 (NSRS 2007) US Feet,NAD 83 (NSRS 2007) Intl Feet,NAD 83 (2011) Meters,NAD 83 (2011) US Feet,NAD 83 (2011) Intl Feet
Virginia South,Lambert Conformal Conic,4502,32047,32147,2284,,2854,2925,,ESRI:103560,ESRI:103562,3687,3688,,6594,6595,
Washington North,Lambert Conformal Conic,4601,32048,32148,2285,,2855,2926,,ESRI:103563,ESRI:103565,3689,3690,,6596,6597,
Washington South,Lambert Conformal Conic,4602,32049,32149,2286,,2856,2927,,ESRI:103564,ESRI:103566,3691,3692,,6598,6599,
West Virginia North,Lambert Conformal Conic,4701,32050,32150,26853,,2857,26861,,ESRI:103567,ESRI:103569,3693,26869,,6600,6601,
West Virginia South,Lambert Conformal Conic,4702,32051,32151,26854,,2858,26862,,ESRI:103568,ESRI:103570,3694,26870,,6602,6603,
Wisconsin North,Lambert Conformal Conic,4801,32052,32152,2287,,2859,2928,,ESRI:103571,ESRI:103574,3697,3698,,6606,6607,
Wisconsin Central,Lambert Conformal Conic,4802,32053,32153,2288,,2860,2929,,ESRI:103572,ESRI:103575,3695,3696,,6879,6605,
Wisconsin South,Lambert Conformal Conic,4803,32054,32154,2289,,2861,2930,,ESRI:103573,ESRI:103576,3699,3700,,6608,6609,
Wyoming East,Transverse Mercator,4901,32055,32155,3736,,2862,3755,,ESRI:103577,ESRI:103581,3702,3730,,6611,6612,
Wyoming East Central,Transverse Mercator,4902,32056,32156,3737,,2863,3756,,ESRI:103578,ESRI:103582,3703,3731,,6613,6614,
Wyoming West Central,Transverse Mercator,4903,32057,32157,3738,,2864,3757,,ESRI:103579,ESRI:103583,3704,3732,,6617,6618,
Wyoming West,Transverse Mercator,4904,32058,32158,3739,,2865,3758,,ESRI:103580,ESRI:103585,3705,3733,,6615,6616,
